date,lead,model,rmse,mae,iiee,aee,me,me_iiee_ratio
2022-03-31,1,LSTM,0.04242561757564545,0.01808929815888405,41875.0,1875.0,40000.0,0.9552238805970149
2022-04-01,1,LSTM,0.041985031217336655,0.01782830059528351,40000.0,8750.0,31250.0,0.78125
2022-04-02,1,LSTM,0.03803718090057373,0.01704002544283867,31250.0,2500.0,28750.0,0.92
2022-04-03,1,LSTM,0.0446646586060524,0.017750611528754234,44375.0,9375.0,35000.0,0.7887323943661971
2022-04-04,1,LSTM,0.04718339443206787,0.019270209595561028,52500.0,20000.0,32500.0,0.6190476190476191
2022-04-05,1,LSTM,0.052445922046899796,0.021296340972185135,46875.0,13125.0,33750.0,0.72
2022-04-08,1,LSTM,0.05384445562958717,0.022537389770150185,36250.0,0.0,36250.0,1.0
2022-04-09,1,LSTM,0.05933286249637604,0.02250976860523224,48750.0,22500.0,26250.0,0.5384615384615384
2022-04-13,1,LSTM,0.05140639469027519,0.021925976499915123,49375.0,625.0,48750.0,0.9873417721518988
2022-04-14,1,LSTM,0.05588066950440407,0.02298501320183277,46250.0,17500.0,28750.0,0.6216216216216216
2022-04-19,1,LSTM,0.04393821209669113,0.018922362476587296,38125.0,3125.0,35000.0,0.9180327868852459
2022-04-21,1,LSTM,0.06783707439899445,0.02427615225315094,58750.0,20000.0,38750.0,0.6595744680851063
2022-04-22,1,LSTM,0.04472846910357475,0.016808364540338516,46250.0,17500.0,28750.0,0.6216216216216216
2022-04-24,1,LSTM,0.046513475477695465,0.017233392223715782,45000.0,3750.0,41250.0,0.9166666666666666
2022-04-27,1,LSTM,0.07387140393257141,0.03529597818851471,44375.0,21875.0,22500.0,0.5070422535211268
2022-04-28,1,LSTM,0.09298770874738693,0.04238444194197655,50000.0,6250.0,43750.0,0.875
2022-04-29,1,LSTM,0.0650397464632988,0.029175439849495888,49375.0,13125.0,36250.0,0.7341772151898734
2022-05-09,1,LSTM,0.057669468224048615,0.02731037139892578,34375.0,8125.0,26250.0,0.7636363636363637
2022-05-10,1,LSTM,0.057692162692546844,0.025874430313706398,38750.0,0.0,38750.0,1.0
2022-05-12,1,LSTM,0.04433417692780495,0.021344685927033424,33125.0,13125.0,20000.0,0.6037735849056604
2022-05-15,1,LSTM,0.04712576046586037,0.02160177193582058,32500.0,12500.0,20000.0,0.6153846153846154
2022-05-16,1,LSTM,0.054542284458875656,0.025597285479307175,33750.0,6250.0,27500.0,0.8148148148148148
2022-05-17,1,LSTM,0.05175050348043442,0.02519199252128601,35625.0,4375.0,31250.0,0.8771929824561403
2022-05-18,1,LSTM,0.05378416180610657,0.02692456915974617,41875.0,6875.0,35000.0,0.835820895522388
2022-05-19,1,LSTM,0.051728855818510056,0.026274608448147774,46250.0,22500.0,23750.0,0.5135135135135135
2022-05-21,1,LSTM,0.06534712016582489,0.030939966440200806,70625.0,28125.0,42500.0,0.6017699115044248
2022-05-22,1,LSTM,0.05872618034482002,0.02843916229903698,59375.0,625.0,58750.0,0.9894736842105263
2022-05-23,1,LSTM,0.06866008043289185,0.03090028278529644,63750.0,20000.0,43750.0,0.6862745098039216
2022-05-24,1,LSTM,0.05163123086094856,0.023192139342427254,53750.0,21250.0,32500.0,0.6046511627906976
2022-05-27,1,LSTM,0.04889824241399765,0.02258445881307125,33750.0,15000.0,18750.0,0.5555555555555556
2022-05-30,1,LSTM,0.043265748769044876,0.020737992599606514,49375.0,24375.0,25000.0,0.5063291139240507
2022-06-01,1,LSTM,0.05147784203290939,0.02491259202361107,42500.0,15000.0,27500.0,0.6470588235294118
2022-06-05,1,LSTM,0.04167021065950394,0.02014743909239769,51875.0,23125.0,28750.0,0.5542168674698795
2022-06-06,1,LSTM,0.0386153981089592,0.018885329365730286,33125.0,6875.0,26250.0,0.7924528301886793
2022-06-12,1,LSTM,0.045044101774692535,0.02146083302795887,33125.0,1875.0,31250.0,0.9433962264150944
2022-06-14,1,LSTM,0.045600853860378265,0.02051526866853237,33125.0,625.0,32500.0,0.9811320754716981
2022-06-16,1,LSTM,0.045540884137153625,0.02034728415310383,31875.0,625.0,31250.0,0.9803921568627451
2022-06-19,1,LSTM,0.04566590115427971,0.01950114034116268,63750.0,25000.0,38750.0,0.6078431372549019
2022-06-23,1,LSTM,0.03640012443065643,0.015817970037460327,62500.0,21250.0,41250.0,0.66
2022-06-24,1,LSTM,0.03794315084815025,0.016152746975421906,48125.0,4375.0,43750.0,0.9090909090909091
2022-06-25,1,LSTM,0.03933366760611534,0.01638045161962509,59375.0,24375.0,35000.0,0.5894736842105263
